stationID,stationName,lat,lon,count
431,Hanover Pl & Livingston St,40.688646,-73.982634,976
432,E 7 St & Avenue A,40.726218,-73.983799,962
433,E 13 St & Avenue A,40.729554,-73.980572,957
434,9 Ave & W 18 St,40.743174,-74.003664,956
435,W 21 St & 6 Ave,40.74174,-73.994156,948
436,Hancock St & Bedford Ave,40.682166,-73.95399,940
437,Macon St & Nostrand Ave,40.680983,-73.950048,935
438,St Marks Pl & 1 Ave,40.727791,-73.985649,922
439,E 4 St & 2 Ave,40.726281,-73.98978,919
440,E 45 St & 3 Ave,40.752554,-73.972826,908
441,E 52 St & 2 Ave,40.756014,-73.967416,905
442,W 27 St & 7 Ave,40.746647,-73.993915,901
443,Bedford Ave & S 9th St,40.708531,-73.96409,891
444,Broadway & W 24 St,40.742354,-73.989151,884
445,E 10 St & Avenue A,40.727408,-73.98142,881
446,W 24 St & 7 Ave,40.744876,-73.995299,881
447,8 Ave & W 52 St,40.763707,-73.985162,879
448,W 37 St & 10 Ave,40.756604,-73.997901,864
449,W 52 St & 9 Ave,40.764618,-73.987895,863
450,W 49 St & 8 Ave,40.762272,-73.987882,862
453,W 22 St & 8 Ave,40.744751,-73.999154,860
454,E 51 St & 1 Ave,40.754557,-73.96593,859
455,1 Ave & E 44 St,40.75002,-73.969053,859
456,E 53 St & Madison Ave,40.759711,-73.974023,849
457,Broadway & W 58 St,40.766953,-73.981693,843
458,11 Ave & W 27 St,40.751396,-74.005226,841
459,W 20 St & 11 Ave,40.746745,-74.007756,833
460,S 4 St & Wythe Ave,40.712859,-73.965903,828
461,E 20 St & 2 Ave,40.735877,-73.98205,823
462,W 22 St & 10 Ave,40.74692,-74.004519,823
463,9 Ave & W 16 St,40.742065,-74.004432,819
464,E 56 St & 3 Ave,40.759345,-73.967597,806
465,Broadway & W 41 St,40.755136,-73.98658,805
466,W 25 St & 6 Ave,40.743954,-73.991449,796
467,Dean St & 4 Ave,40.683125,-73.978951,793
468,Broadway & W 55 St,40.765265,-73.981923,793
469,Broadway & W 53 St,40.763441,-73.982681,767
470,W 20 St & 8 Ave,40.743453,-74.00004,760
471,Grand St & Havemeyer St,40.712868,-73.956981,758
472,E 32 St & Park Ave,40.745712,-73.981948,756
473,Rivington St & Chrystie St,40.721101,-73.991925,754
474,5 Ave & E 29 St,40.745168,-73.986831,743
475,E 16 St & Irving Pl,40.735243,-73.987586,739
476,E 31 St & 3 Ave,40.743943,-73.979661,737
477,W 41 St & 8 Ave,40.756405,-73.990026,733
478,11 Ave & W 41 St,40.760301,-73.998842,727
479,9 Ave & W 45 St,40.760193,-73.991255,727
480,W 53 St & 10 Ave,40.766697,-73.990617,720
481,S 3 St & Bedford Ave,40.712605,-73.962644,718
482,W 15 St & 7 Ave,40.739355,-73.999318,716
483,E 12 St & 3 Ave,40.732233,-73.9889,715
484,W 44 St & 5 Ave,40.755003,-73.980144,710
485,W 37 St & 5 Ave,40.75038,-73.98339,708
486,Broadway & W 29 St,40.746201,-73.988557,695
487,E 20 St & FDR Drive,40.733143,-73.975739,690
488,W 39 St & 9 Ave,40.756458,-73.993722,685
489,10 Ave & W 28 St,40.750664,-74.001768,684
490,8 Ave & W 33 St,40.751551,-73.993934,675
491,E 24 St & Park Ave S,40.740964,-73.986022,673
492,W 33 St & 7 Ave,40.7502,-73.990931,667
493,W 45 St & 6 Ave,40.7568,-73.982912,661
494,W 26 St & 8 Ave,40.747348,-73.997236,658
495,W 47 St & 10 Ave,40.762699,-73.993012,656
496,E 16 St & 5 Ave,40.737262,-73.99239,654
497,E 17 St & Broadway,40.73705,-73.990093,641
498,Broadway & W 32 St,40.748549,-73.988084,634
499,Broadway & W 60 St,40.769155,-73.981918,621
500,Broadway & W 51 St,40.762288,-73.983362,621
501,FDR Drive & E 35 St,40.744219,-73.971212,607
502,Henry St & Grand St,40.714215,-73.981346,601
503,E 20 St & Park Ave,40.738274,-73.98752,588
504,1 Ave & E 15 St,40.732219,-73.981656,587
505,6 Ave & W 33 St,40.749013,-73.988484,582
507,E 25 St & 2 Ave,40.739126,-73.979738,582
508,W 46 St & 11 Ave,40.763414,-73.996674,568
509,9 Ave & W 22 St,40.745497,-74.001971,568
510,W 51 St & 6 Ave,40.76066,-73.98042,560
511,E 14 St & Avenue B,40.729387,-73.977724,556
512,W 29 St & 9 Ave,40.750073,-73.998393,551
513,W 56 St & 10 Ave,40.768254,-73.988639,551
514,12 Ave & W 40 St,40.760875,-74.002777,540
515,W 43 St & 10 Ave,40.760094,-73.994618,530
516,E 47 St & 1 Ave,40.752069,-73.967844,525
517,Pershing Square South,40.751581,-73.97791,521
518,E 39 St & 2 Ave,40.747804,-73.973442,512
519,Pershing Square North,40.751873,-73.977706,510
520,W 52 St & 5 Ave,40.759923,-73.976485,508
521,8 Ave & W 31 St,40.75045,-73.994811,506
522,E 51 St & Lexington Ave,40.757148,-73.972078,504
523,W 38 St & 8 Ave,40.754666,-73.991382,500
524,W 43 St & 6 Ave,40.755273,-73.983169,498
525,W 34 St & 11 Ave,40.755942,-74.002116,494
526,E 33 St & 5 Ave,40.747659,-73.984907,489
527,E 33 St & 2 Ave,40.744023,-73.976056,474
